   630.931274       44.1155701     PKiKP       
   629.972900       44.2513504     PKiKP       
   629.016235       44.3871307     PKiKP       
   628.061279       44.5229111     PKiKP       
   627.108032       44.6586952     PKiKP       
   626.156372       44.7944756     PKiKP       
   625.206482       44.9302559     PKiKP       
   624.258301       45.0660362     PKiKP       
   623.311646       45.2018166     PKiKP       
   622.366821       45.3376007     PKiKP       
   621.423584       45.4733810     PKiKP       
   620.482056       45.6091614     PKiKP       
   619.542236       45.7449417     PKiKP       
