 45.07   21  SKKPdf        1706.62
 45.07   22  PKKSdf        1711.38
 45.07   23  SKKSdf        1919.68
 45.07   24  P'P'df        2003.43
 45.07   25  P'P'ab        2066.78
 45.07   26  S'S'df        2852.94
 45.20    1  P              105.62
 45.20    2  pP             117.68
 45.20    3  sP             122.77
 45.20    4  PcP            205.22
 45.20    5  PP             211.83
 45.20    6  PP             214.18
 45.20    7  ScP            434.26
 45.20    8  PcS            439.09
 45.20    9  S              502.42
 45.20   10  sS             522.51
 45.20   11  PKiKP          623.31
 45.20   12  pPKiKP         636.89
 45.20   13  sPKiKP         641.65
 45.20   14  ScS            698.74
 45.20   15  SS             706.08
 45.20   16  SS             706.19
 45.20   17  SS             722.94
 45.20   18  SnSn           733.89
 45.20   19  SKiKP          831.79
 45.20   20  PKKPdf        1497.01
 45.20   21  SKKPdf        1705.42
 45.20   22  PKKSdf        1710.17
 45.20   23  SKKSdf        1918.48
 45.20   24  P'P'df        2002.18
 45.20   25  P'P'ab        2065.12
 45.20   26  S'S'df        2851.72
 45.34    1  P              105.62
 45.34    2  pP             117.68
 45.34    3  sP             122.77
 45.34    4  PcP            204.61
 45.34    5  PP             212.19
 45.34    6  PP             214.35
 45.34    7  ScP            433.74
 45.34    8  PcS            438.57
 45.34    9  S              503.30
 45.34   10  sS             523.40
 45.34   11  PKiKP          622.37
 45.34   12  pPKiKP         635.95
 45.34   13  sPKiKP         640.70
 45.34   14  ScS            698.54
 45.34   15  SS             707.22
 45.34   16  SS             707.73
 45.34   17  SnSn           736.06
 45.34   18  SKiKP          830.85
 45.34   19  PKKPdf        1495.80
 45.34   20  SKKPdf        1704.22
 45.34   21  PKKSdf        1708.97
 45.34   22  SKKSdf        1917.28
 45.34   23  P'P'df        2000.93
 45.34   24  P'P'ab        2063.46
 45.34   25  S'S'df        2850.51
 45.47    1  P              105.62
 45.47    2  pP             117.69
 45.47    3  sP             122.77
 45.47    4  PcP            204.01
 45.47    5  PP             212.55
 45.47    6  PP             214.52
 45.47    7  ScP            433.23
 45.47    8  PcS            438.06
 45.47    9  S              504.19
 45.47   10  sS             524.29
 45.47   11  PKiKP          621.42
 45.47   12  pPKiKP         635.00
 45.47   13  sPKiKP         639.76
 45.47   14  ScS            698.34
 45.47   15  SS             708.37
 45.47   16  SS             709.27
 45.47   17  SnSn           738.23
 45.47   18  SKiKP          829.91
 45.47   19  PKKPdf        1494.59
 45.47   20  SKKPdf        1703.01
 45.47   21  PKKSdf        1707.77
 45.47   22  SKKSdf        1916.08
 45.47   23  P'P'df        1999.69
 45.47   24  P'P'ab        2061.79
 45.47   25  S'S'df        2849.30
 45.61    1  P              105.62
 45.61    2  pP             117.69
 45.61    3  sP             122.78
 45.61    4  PcP            203.41
 45.61    5  PP             212.92
 45.61    6  PP             214.69
 45.61    7  ScP            432.72
 45.61    8  PcS            437.55
 45.61    9  S              505.07
 45.61   10  sS             525.18
 45.61   11  PKiKP          620.48
 45.61   12  pPKiKP         634.06
 45.61   13  sPKiKP         638.82
 45.61   14  ScS            698.14
 45.61   15  SS             709.51
 45.61   16  SS             710.80
 45.61   17  SnSn           740.40
 45.61   18  SKiKP          828.98
 45.61   19  PKKPdf        1493.38
 45.61   20  SKKPdf        1701.81
 45.61   21  PKKSdf        1706.57
 45.61   22  SKKSdf        1914.89
 45.61   23  P'P'df        1998.44
 45.61   24  P'P'ab        2060.14
 45.61   25  S'S'df        2848.09
