   212.862396       44.1155701     PP          
   213.023376       44.2513504     PP          
   213.185394       44.3871307     PP          
   213.348602       44.5229111     PP          
   213.512848       44.6586952     PP          
   213.678192       44.7944756     PP          
   213.844604       44.9302559     PP          
   214.012115       45.0660362     PP          
   214.180756       45.2018166     PP          
   214.350433       45.3376007     PP          
   214.521240       45.4733810     PP          
   214.693054       45.6091614     PP          
   214.866028       45.7449417     PP          
