   117.646667       44.1155701     pP          
   117.650726       44.2513504     pP          
   117.654785       44.3871307     pP          
   117.658844       44.5229111     pP          
   117.662933       44.6586952     pP          
   117.666962       44.7944756     pP          
   117.671021       44.9302559     pP          
   117.675079       45.0660362     pP          
   117.679138       45.2018166     pP          
   117.683167       45.3376007     pP          
   117.687225       45.4733810     pP          
   117.691254       45.6091614     pP          
   117.695312       45.7449417     pP          
