   515.364990       44.1155701     sS          
   516.259705       44.2513504     sS          
   517.153809       44.3871307     sS          
   518.047485       44.5229111     sS          
   518.940552       44.6586952     sS          
   519.833130       44.7944756     sS          
   520.725159       44.9302559     sS          
   521.616699       45.0660362     sS          
   522.507568       45.2018166     sS          
   523.397949       45.3376007     sS          
   524.287842       45.4733810     sS          
   525.177124       45.6091614     sS          
   526.065918       45.7449417     sS          
